id,St_Racuna,Sifra_Kupca,Datum_Storitve,Knjizenje,Znesek,Znese_z_DDV,Fakturiral,Izvajalec
1,41.221,64.468,29. 12. 2014,1,"36,00","43,92",063,076
2,32.518,28.381.084,30. 10. 2014,0,"61,12","74,57",014,034
3,32.519,28.381.084,30. 10. 2014,0,"396,51","396,51",014,034
4,37.322,28.381.084,28. 11. 2014,0,"111,52","136,05",014,034
5,37.323,28.381.084,28. 11. 2014,0,"785,67","785,67",014,034
6,34.316,64.172,6. 11. 2014,1,"20,00","24,40",063,027
7,63,27.006.484,6. 1. 2015,0,"23,00","28,06",037,001
8,32.516,44.790.155,30. 10. 2014,0,"70,97","86,58",014,034
9,32.517,44.790.155,30. 10. 2014,0,"460,46","460,46",014,034
10,34.120,61.319,8. 11. 2014,1,"23,00","28,06",063,008
11,66,61.671,5. 1. 2015,0,"23,00","28,06",037,027
12,665,61.673,14. 1. 2015,0,"23,00","28,06",037,013
13,36.847,123,20. 11. 2014,0,"73,10","89,18",037,009
14,29.579,346,6. 10. 2014,0,"103,00","125,66",037,066
15,29.581,347,6. 10. 2014,0,"141,20","172,26",037,066
16,29.580,852,6. 10. 2014,0,"103,00","125,66",037,066
17,37.438,1.046,2. 12. 2014,0,"37,00","45,14",037,021
18,418,61.378,12. 1. 2015,0,"23,00","28,06",037,013
19,423,61.378,12. 1. 2015,0,"23,00","28,06",037,013
20,40.057,1.313,17. 12. 2014,0,"68,80","83,94",037,009
21,33.075,1.707,27. 10. 2014,1,"23,00","28,06",107,028
22,33.074,1.718,27. 10. 2014,1,"20,00","24,40",107,028
23,31.677,1.727,27. 10. 2014,0,"23,00","28,06",014,028
24,36.814,2.920,19. 11. 2014,0,"96,10","117,24",037,067
25,39.468,2.920,19. 11. 2014,0,"-96,10","-117,24",037,067
26,39.469,2.920,19. 11. 2014,0,"96,10","105,52",037,067
27,39.093,2.936,8. 12. 2014,0,"114,40","139,57",037,017
28,1.455,64.501,12. 1. 2015,1,"20,00","24,40",063,015
29,35.386,3.730,17. 11. 2014,0,"304,40","371,37",014,067
30,34.908,3.982,13. 11. 2014,1,"37,00","45,14",107,009
31,29.591,4.255,3. 10. 2014,0,"84,00","102,48",037,068
32,30.140,4.292,10. 10. 2014,0,"363,80","443,84",037,067
33,34.975,4.467,12. 11. 2014,0,"52,85","64,48",014,017
34,40.960,4.478,4. 12. 2014,0,"126,50","154,33",037,017
35,1.461,64.502,12. 1. 2015,1,"20,00","24,40",063,015
36,38.496,5.064,8. 12. 2014,0,"21,50","26,23",037,009
37,30.203,5.346,9. 10. 2014,1,"39,00","47,58",063,076
38,29.905,6.320,8. 10. 2014,0,"100,00","122,00",037,005
39,29.902,63.959,8. 10. 2014,0,"23,00","28,06",037,075
40,40.112,6.402,17. 12. 2014,0,"97,15","118,52",037,017
41,36.818,6.876,19. 11. 2014,0,"127,20","155,18",037,067
42,39.467,6.876,19. 11. 2014,0,"-127,20","-155,18",037,067
43,39.470,6.876,19. 11. 2014,0,"127,20","139,67",037,067
44,1.511,64.503,12. 1. 2015,1,"23,00","28,06",063,001
45,31.124,10.184,21. 10. 2014,1,"26,00","31,72",063,031
46,34.146,10.198,13. 11. 2014,0,"23,00","28,06",037,028
47,30.121,10.212,7. 10. 2014,0,"6,30","7,69",037,021
48,29.918,10.221,8. 10. 2014,0,"23,00","28,06",037,001
49,34.550,10.224,12. 11. 2014,2,"23,00","28,06",107,009
50,32.806,10.228,29. 10. 2014,1,"37,00","45,14",063,042
51,138,10.237,7. 1. 2015,0,"23,00","28,06",037,075
52,39.590,10.246,16. 12. 2014,0,"6,30","7,69",037,028
53,35.747,10.252,20. 11. 2014,2,"23,00","28,06",063,007
54,41.071,10.252,1. 12. 2014,0,"6,30","7,69",037,007
55,1.701,10.256,20. 1. 2015,0,"23,00","28,06",037,013
56,29.914,10.276,8. 10. 2014,0,"23,00","28,06",037,001
