id,St_Racuna,Sifra_Kupca,Datum_Storitve,Knjizenje,Znesek,Fakturiral,Izvajalec
1,41221,64468,29.12.2014,1,36.00,063,076
2,32518,28381084,30.10.2014,0,61.12,014,034
3,33493,9002673,8.11.2014,0,607.40,037,026
4,32519,28381084,30.10.2014,0,396.51,014,034
5,38905,9002673,12.12.2014,0,60.60,037,027
6,29582,9000088,3.10.2014,0,394.90,037,018
7,37322,28381084,28.11.2014,0,111.52,014,034
8,37323,28381084,28.11.2014,0,785.67,014,034
9,32042,64071,21.10.2014,1,60.60,063,008
10,37010,582681,28.11.2014,1,39.70,063,011
11,40290,58448624,19.12.2014,0,111.00,037,041
12,34977,14460122,13.11.2014,0,78.45,014,017
13,39120,519155,10.12.2014,1,60.00,107,028
14,36013,69785945,20.11.2014,0,39.20,014,031
15,34316,64172,6.11.2014,1,20.00,063,027
16,37780,20874731,3.12.2014,0,110.85,037,017
17,39870,93810636,18.12.2014,0,78.45,037,075
18,34593,574680,12.11.2014,1,60.00,063,072
19,63,27006484,6.1.2015,0,23.00,037,001
20,1080,24696811,14.1.2015,0,110.85,037,017
21,41076,48179515,18.12.2014,0,78.45,037,075
22,32516,44790155,30.10.2014,0,70.97,014,034
23,29934,610467,8.10.2014,0,60.00,037,008
24,530,26731622,12.1.2015,0,110.85,037,017
25,35661,12312355,19.11.2014,0,78.30,014,075
26,1668,9004149,20.1.2015,0,70.80,037,008
27,33494,9004149,7.11.2014,0,60.00,037,038
28,32517,44790155,30.10.2014,0,460.46,014,034
29,38623,60081295,10.12.2014,0,110.85,037,027
30,39065,9000088,10.12.2014,0,78.00,037,017
31,31232,26862085,20.10.2014,0,70.20,037,007
32,378,91964741,12.1.2015,0,60.00,037,027
33,30345,9004149,10.10.2014,0,46.40,037,005
34,34120,61319,8.11.2014,1,23.00,063,008
35,33901,64067076,5.11.2014,0,110.85,037,017
36,39070,9000088,10.12.2014,0,78.00,037,017
37,34150,90799496,13.11.2014,0,70.20,037,031
